28,90.5,0.0,85.5,0.0,0.0,0.0,0.5,0.5,0.5,0
28,72.5,0.0,94.5,0.0,0.0,0.0,0.5,0.5,0.5,0
28,80.5,0.0,75.5,0.0,0.0,0.0,0.5,0.5,0.5,0
20,138.5,0.0,74.5,0.0,0.0,0.0,0.5,0.5,0.5,0
13,147.5,0.0,142.5,0.0,0.0,0.0,0.6,0.6,0.6,3
14,26.5,0.0,135.5,0.0,0.0,0.0,0.125,0.125,0.125,0
25,145.5,0.0,15.5,0.0,34.0,0.0,0.2,0.2,0.2,0
22,145.5,0.0,143.5,0.0,0.0,0.0,0.4,0.4,0.4,0
24,143.5,0.0,23.5,0.0,0.0,0.0,0.5,0.5,0.5,0
7,121.5,0.0,50.5,0.0,0.0,0.0,0.5,0.5,0.5,0
5,146.5,0.0,117.5,0.0,0.0,0.0,0.5,0.5,0.5,0
20,153.5,0.0,102.5,0.0,0.0,0.0,0.5,0.5,0.5,0
13,70.5,0.0,54.5,0.0,0.0,0.0,0.6,0.6,0.6,1
14,91.5,0.0,56.5,0.0,0.0,0.0,0.125,0.125,0.125,0
25,141.5,0.0,141.5,0.0,302.0,0.0,0.2,0.2,0.2,0
22,111.5,0.0,121.5,0.0,0.0,0.0,0.4,0.4,0.4,0
24,114.5,0.0,119.5,0.0,0.0,0.0,0.5,0.5,0.5,0
7,153.5,0.0,62.5,0.0,0.0,0.0,0.5,0.5,0.5,0
5,75.5,0.0,131.5,0.0,0.0,0.0,0.5,0.5,0.5,0
20,6.5,0.0,28.5,0.0,0.0,0.0,0.5,0.5,0.5,0
13,27.5,0.0,77.5,0.0,0.0,0.0,0.6,0.6,0.6,0
14,149.5,0.0,53.5,0.0,0.0,0.0,0.125,0.125,0.125,0
25,136.5,0.0,40.5,0.0,235.0,0.0,0.2,0.2,0.2,0
22,123.5,0.0,108.5,0.0,0.0,0.0,0.4,0.4,0.4,0
24,59.5,0.0,137.5,0.0,0.0,0.0,0.5,0.5,0.5,0
